Datetime,price,ema_20,rsi_14,macd_histogram,bb_lower,bb_upper,vwap
2026-03-26 13:30:00+00:00,578.9876098632812,594.1586575203621,12.759419390649075,-1.0301486973798037,587.0212520093894,602.8335514574076,579.7958780924479
2026-03-26 13:35:00+00:00,575.9500122070312,592.4245008238545,11.17296496642827,-1.7657803907085645,582.3515801848282,605.4407232819688,579.0949008208812
2026-03-26 13:40:00+00:00,576.2999877929688,590.8888329161512,12.522503277519963,-2.0978272916006353,579.0178729242831,606.6458905034511,578.6593214056454
2026-03-26 13:45:00+00:00,577.4000244140625,589.6041844873808,16.80119707064938,-2.1068601003752385,576.5922025937917,607.0585603456612,578.4896693319365
2026-03-26 13:50:00+00:00,579.9199829101562,588.6818795752642,25.759517159617104,-1.8175423620627118,575.1053082909035,606.7184526954244,578.5597558947122
2026-03-26 13:55:00+00:00,575.8800048828125,587.4626534140783,21.72148863648724,-1.7708880717874549,573.0031918709607,606.6465700919301,578.2662437053771
2026-03-26 14:00:00+00:00,577.9301147460938,586.554792588556,27.898242955215732,-1.4860848308052494,571.6022380156378,606.1485371308465,578.196592083901
2026-03-26 14:05:00+00:00,576.1300048828125,585.5619556641994,25.96115915560216,-1.3092692379395166,570.043211175943,605.7525651912442,578.1328888271735
2026-03-26 14:10:00+00:00,574.8800048828125,584.5446270183531,24.67969340900033,-1.1713163606479036,568.4475904235653,605.3771837463566,577.9261795276906
2026-03-26 14:15:00+00:00,574.25,583.5641863499385,24.035733416347544,-1.0227172914900704,566.9782239933448,604.8080492000146,577.7378591873697
2026-03-26 14:20:00+00:00,572.7249755859375,582.5318805628908,22.504946717851002,-0.9300222802488198,565.4857685581298,604.101005123511,577.3961415864206
2026-03-26 14:25:00+00:00,568.7899780273438,581.2231279404577,19.12102157620024,-1.0289052221750907,563.5975413320414,603.2982289316308,576.5103785201806
2026-03-26 14:30:00+00:00,570.0750122070312,580.1614026325124,23.18315442650224,-0.9072065927343536,562.3237353130166,602.0250378803428,575.9196032023696
2026-03-26 14:35:00+00:00,568.3250122070312,579.0341273538952,21.592658249489237,-0.8452524346092778,561.1327063575811,600.4555687889031,575.6092814595435
2026-03-26 14:40:00+00:00,564.868408203125,577.685011244298,18.842846987796694,-0.9309776723210224,559.637487456724,598.8996280217915,574.8535757357939
2026-03-26 14:45:00+00:00,562.5250244140625,576.2412029747518,17.239930953758428,-1.0316066358443443,558.1246630884116,597.1619519018227,573.7753733453819
2026-03-26 14:50:00+00:00,561.5900268554688,574.8458528681534,16.631991613247795,-1.0440706702467555,556.9640360637712,595.0025838092757,573.04430316001
2026-03-26 14:55:00+00:00,561.5399169921875,573.5786208799661,16.598209765594042,-0.9417701361282997,556.3202454229698,592.3883666375772,572.5947429315629
2026-03-26 15:00:00+00:00,560.6199951171875,572.3444660454157,15.957421897273056,-0.826263042769825,556.2097740854048,589.1538367544391,572.1376943340097
2026-03-26 15:05:00+00:00,563.1400146484375,571.4678516266558,24.550469500615865,-0.48712116180686316,557.845562887446,584.3370481965385,571.781690555671
2026-03-26 15:10:00+00:00,563.89501953125,570.7466295223314,26.96003611912414,-0.13711657010964728,557.2665681934981,583.4067838572834,571.5161180162174
2026-03-26 15:15:00+00:00,563.0175170898438,570.0105235763803,25.92378717690883,0.09747845198048122,556.5100845181951,582.8700180208675,571.2263802532809
2026-03-26 15:20:00+00:00,560.97998046875,569.150471851844,23.65063643916757,0.17318628858176055,555.581844992199,582.2662568144417,571.0273525129226
2026-03-26 15:25:00+00:00,560.905029296875,568.3651916085137,23.568766525901232,0.2701908774069244,554.9249479476848,581.2736543472372,570.7638734484925
2026-03-26 15:30:00+00:00,559.6599731445312,567.5361231833724,22.194347750733392,0.30016953116222034,554.6436122068766,579.5289891114827,570.2080674197065
2026-03-26 15:35:00+00:00,559.6099853515625,566.7812529136762,22.138527643536083,0.36214842047460927,554.1269514818279,578.4186478834066,569.8421034708305
2026-03-26 15:40:00+00:00,559.52001953125,566.0897068772547,22.031132813887506,0.43755868787933316,554.1744201549739,576.5301696887764,569.6145740131711
2026-03-26 15:45:00+00:00,559.7399291992188,565.4849661460132,23.014230237331198,0.5362125970140275,554.3203519898659,574.7452302855247,569.4221602752941
2026-03-26 15:50:00+00:00,558.875,564.8554455606786,21.84742974361595,0.5738095504504708,554.4698955102591,572.9951862768504,569.1948373840768
2026-03-26 15:55:00+00:00,556.5800170898438,564.0673095158372,19.08286197559738,0.47859577749883986,554.4828933729277,571.2151901231662,568.7224931093431
